item_a,item_b,cooc_count,support,conf_a_to_b,conf_b_to_a
1063,1069,11961,0.015703300699631214,0.6654612217647713,0.5510457937897355
1062,1063,8437,0.011076728367426516,0.6925223672330296,0.4694002447980416
1062,1069,7721,0.010136709698340657,0.6337519494377412,0.3557080991430941
1069,4.26012E+12,2443,0.003207354201922837,0.11254952547682669,0.17992340550891148
1069,6.25159E+12,2223,0.002918521649969082,0.10241407905648207,0.6261971830985915
6.25107E+12,6.2911E+12,1864,0.002447199440189999,0.05854455227865197,0.055962531523958206
1069,8.47E+12,1663,0.0021833115177231593,0.0766147608956049,0.4170010030090271
1063,8.47E+12,1532,0.0020113248617870593,0.08523422721709135,0.38415245737211634
1069,6.25106E+12,1460,0.0019167978447840123,0.06726250806228692,0.3055671829217246
5.06015E+12,8.01689E+12,1444,0.0018957918410055575,0.3036803364879075,0.45652861207714196
A000482,Auto-26,1335,0.0017526884402648331,0.5616323096339925,0.19294695765284
3.58291E+12,6.25107E+12,1331,0.0017474369393202195,0.06096276279027161,0.04180407676120481
1069,8.69972E+12,1299,0.0017054249317633096,0.059845204091034734,0.3478843063738618
6.25188E+12,6.2911E+12,1177,0.0015452541529525907,0.048402352263848335,0.03533685601056803
6.2911E+12,8.69957E+12,1086,0.0014257825064626284,0.03260477963252072,0.06665848269089124
8.43604E+12,8.51903E+11,1085,0.001424469631226475,0.27601119308064104,0.2767151236929355
6.25107E+12,6.25188E+12,1059,0.0013903348750864857,0.03326109488363328,0.04354977998930789
1063,4.26012E+12,1025,0.001345697117057269,0.05702681651274063,0.07548976285167182
1063,1067,1022,0.0013417584913488086,0.05685990875709358,0.19672762271414823
1067,1069,1018,0.001336506990404195,0.19595765158806544,0.04689947479959458
1069,6.25334E+12,915,0.0012012808410803912,0.04215424306643324,0.2984344422700587
1063,6.25159E+12,892,0.0011710847106488624,0.0496272393457216,0.2512676056338028
1069,9.504E+12,849,0.0011146310754942647,0.03911360914032986,0.04148951766603137
3.58291E+12,A00096,840,0.0011028151983688839,0.03847386983007374,0.10184287099903007
1062,1067,838,0.001100189447896577,0.06878437166543544,0.16130895091434072
6.25188E+12,9.504E+12,832,0.0010923121964796563,0.03421474688489534,0.040658749938914135
3.58291E+12,6.2911E+12,828,0.0010870606955350427,0.037924243118215545,0.024858892758496457
1069,3.49932E+12,807,0.0010594903155758204,0.037178660278264074,0.4343379978471475
3.58291E+12,7.32184E+12,797,0.0010463615632142862,0.036504374112581874,0.07353076852108129
6.2911E+12,9.504E+12,788,0.0010345456860889053,0.023657980064849284,0.03850852758637541
1069,8.90409E+12,780,0.0010240426841996778,0.03593476458122178,0.1609907120743034
3.58291E+12,6.25188E+12,769,0.00100960105660199,0.03522191178491275,0.03162396677221697
1069,6.21087E+12,757,0.0009938465537681488,0.034875149728185756,0.5060160427807486
1065,9.504E+12,748,0.000982030676642768,0.10788980239434588,0.03655377999315838
1065,1069,747,0.0009807178014066146,0.10774556469061013,0.03441444761817009
1069,8.43657E+12,735,0.0009649632985727734,0.0338616050861513,0.5917874396135265
3.58291E+12,5.00046E+12,728,0.0009557731719196993,0.03334402051939724,0.11414236437754782
3.58291E+12,7.64015E+12,716,0.0009400186690858582,0.03279439380753905,0.04869092145528732
5.00046E+12,A00096,715,0.0009387057938497047,0.1121041078708059,0.08668768186226965
1063,1065,714,0.0009373929186135512,0.039724045843996886,0.10298572046733016
6.25106E+12,6.25159E+12,709,0.0009308285424327841,0.14838844704897447,0.19971830985915492
6.25116E+12,6.2911E+12,707,0.0009282027919604772,0.038794995610184374,0.021226131860213764
6.25107E+12,9.504E+12,707,0.0009282027919604772,0.02220547127736424,0.03455016371011093
1069,9.40309E+12,642,0.0008428659016105041,0.02957707546300562,0.21630727762803234
5.02305E+12,5.06023E+12,635,0.00083367577495743,0.1244853950205842,0.16223811957077158
3.58291E+12,5.01262E+12,633,0.0008310500244851232,0.028992809050519857,0.05935302390998594
5.00046E+12,7.32184E+12,631,0.0008284242740128163,0.09893383505801191,0.05821570255558631
1063,8.43657E+12,621,0.0008152955216512819,0.034549905418938466,0.5
6.25107E+12,8.69957E+12,621,0.0008152955216512819,0.019504381419014415,0.038116867174073164
1063,9.504E+12,612,0.000803479644525901,0.03404918215199733,0.029907638176220497
5.06015E+12,9.504E+12,612,0.000803479644525901,0.12870662460567822,0.029907638176220497
6.25111E+12,6.25188E+12,609,0.0007995410188174407,0.04067864538107007,0.02504420775589094
7.32184E+12,A00096,603,0.0007916637674005202,0.05563243841682812,0.0731086323957323
6.25111E+12,6.2911E+12,600,0.0007877251416920599,0.040077483134059184,0.01801369040470758
3.58291E+12,6.2516E+12,592,0.0007772221398028324,0.027114917785004352,0.0551313093685975
3.58291E+12,4.03157E+12,591,0.000775909264566679,0.027069115559016168,0.05712352600038662
4.03157E+12,6.25107E+12,590,0.0007745963893305255,0.05702687028803402,0.01853073274914413
3.58291E+12,5.06001E+12,573,0.0007522775103159172,0.026244675491228872,0.04775397949829152
6.2516E+12,A00096,572,0.0007509646350797637,0.053268765133171914,0.06935014548981572
6.25107E+12,6.25116E+12,572,0.0007509646350797637,0.01796538836018719,0.031387181738366986
3.58291E+12,6.25111E+12,568,0.00074571313413515,0.02601566436128796,0.03794001736690936
1065,1066,567,0.0007444002588989965,0.08178277801817395,0.5569744597249509
6.2516E+12,6.25188E+12,550,0.0007220813798843882,0.051219966474203765,0.022617921618620716
8.43657E+12,8.47E+12,544,0.0007142041284674676,0.43800322061191627,0.13640922768304914
6.25107E+12,7.64015E+12,539,0.0007076397522867004,0.01692892364709947,0.036654199251955115
6.25188E+12,8.69957E+12,534,0.0007010753761059333,0.021959945716988116,0.03277682298060398
4.03157E+12,6.2911E+12,533,0.0006997625008697798,0.05151749468393582,0.016002161642848563
8.01689E+12,9.504E+12,528,0.0006931981246890127,0.1669301296237749,0.025802668230464742
1062,4.26012E+12,515,0.0006761307466190181,0.04227201838627596,0.03792900279864487
5.06001E+12,6.25188E+12,514,0.0006748178713828646,0.04283690307525627,0.02113747583994736
1063,8.90409E+12,514,0.0006748178713828646,0.028596862134193837,0.10608875128998968
1060,8.01689E+12,512,0.0006721921209105578,0.3756419662509171,0.16187164084729688
4.00993E+12,6.25107E+12,511,0.0006708792456744043,0.042554963357761495,0.01604949904205534
8.9013E+12,A00096,504,0.0006616891190213303,0.06477316540290451,0.061105722599418044
3.58291E+12,8.69957E+12,502,0.0006590633685490234,0.02299271744606788,0.03081266879450037
5.31009E+12,6.25107E+12,494,0.0006485603666597959,0.05329018338727077,0.01551556267470712
5.01262E+12,5.06001E+12,491,0.0006446217409513356,0.046038443506797935,0.04092007667305609
3.76025E+12,6.2911E+12,486,0.0006380573647705685,0.0447926267281106,0.014591089227813138
1063,8.69972E+12,484,0.0006354316142982617,0.02692778457772338,0.12961971076593465
1065,8.68076E+12,477,0.0006262414876451876,0.06880138468195586,0.18268862504787436
1063,1073,477,0.0006262414876451876,0.02653833314788027,0.16795774647887324
3.58291E+12,6.25116E+12,476,0.0006249286124090341,0.021801859570375122,0.026119402985074626
6.25116E+12,6.25188E+12,472,0.0006196771114644204,0.025899912203687446,0.01941028909816178
8.69957E+12,9.504E+12,471,0.000618364236228267,0.028909894426712497,0.02301715291013048
1069,8.90415E+12,471,0.000618364236228267,0.021699069381737768,0.4070872947277442
5.70219E+12,6.2911E+12,470,0.0006170513609921136,0.09947089947089947,0.014110724150354269
1065,6.2911E+12,466,0.0006117998600474998,0.06721476994086255,0.013990632880989552
1062,8.47E+12,466,0.0006117998600474998,0.038250020520397277,0.1168505516549649
5.06001E+12,6.2516E+12,465,0.0006104869848113464,0.03875322943578632,0.043304153473644996
3.58291E+12,9.504E+12,465,0.0006104869848113464,0.021298035084505108,0.022723940771147925
1069,1073,462,0.0006065483591028861,0.02128443748272367,0.16267605633802817
1063,9.40309E+12,450,0.0005907938562690449,0.02503616334705686,0.15161725067385445
1069,6.25107E+12,449,0.0005894809810328915,0.02068552473970331,0.01410220170231477
6.25107E+12,6.25111E+12,448,0.000588168105796738,0.014070793680706052,0.02992452074009752
1062,1065,448,0.000588168105796738,0.036772551916605105,0.06461849127361892
6.2516E+12,7.32184E+12,444,0.0005829166048521243,0.04134848202644813,0.0409631884860227
1060,5.06015E+12,441,0.000578977979143664,0.3235509904622157,0.09274447949526814
6.2911E+12,7.64015E+12,441,0.000578977979143664,0.01324006244746007,0.029989799387963277
6.25188E+12,A00096,435,0.0005711007277267434,0.017888719825636386,0.05274005819592629
6.25188E+12,7.32184E+12,434,0.0005697878524905899,0.017847596331784347,0.04004059415075192
1065,5.70219E+12,427,0.000560597725837516,0.06158949949516804,0.09037037037037036
1065,3.76025E+12,424,0.0005566591001290556,0.06115678638396077,0.03907834101382489
1065,1079,419,0.0005500947239482885,0.060435597865281986,0.27119741100323624
4.26012E+12,6.25107E+12,418,0.000548781848712135,0.03078509353365739,0.013128553032444486
4.26012E+12,6.2911E+12,409,0.0005369659715867541,0.030122256591545146,0.012279332292542333
5.01262E+12,6.25188E+12,407,0.0005343402211144473,0.03816221284575715,0.01673726199777933
126,8.69962E+12,400,0.0005251500944613732,0.291970802919708,0.19166267369429804
5.06001E+12,7.32184E+12,396,0.0005198985935167595,0.033002750229185765,0.03653473567672295
6.25188E+12,8.9013E+12,394,0.0005172728430444527,0.016202656577702843,0.05063616501734995
5.01262E+12,6.2516E+12,393,0.0005159599678082992,0.03684950773558369,0.03659899422611287
4.26012E+12,9.504E+12,391,0.0005133342173359924,0.028796582707320665,0.01910765772369643
5.06001E+12,A00096,391,0.0005133342173359924,0.03258604883740312,0.047405431619786616
